taxon	total
Gluconacetobacter	359.734258091743
Arthrospira	353.6154882192
Roseobacter	353.189813846415
Bacteriovorax	352.641471360163
Truepera	350.540453165518
Chlamydomonas	346.000630968937
Janibacter	345.449692181365
Branchiostoma	344.917271156576
Hahella	343.731814444885
Chryseobacterium	340.719996503606
Brucella	339.17778071275
Odoribacter	336.697883325463
Marichromatium	336.089388327987
Desulfonatronospira	333.603600546585
Kribbella	332.798565610805
Acidiphilium	332.311686180039
Xenopus	326.572491075399
Toxoplasma	320.924936643881
Paracoccus	318.651023009898
Nitrosospira	317.15131395494
Oceanicola	314.970828695541
Alistipes	314.195837778448
Zea	310.708475475206
Xanthobacter	310.568935325519
Amycolatopsis	305.900006580837
Desulfomicrobium	304.305278393317
Fusobacterium	303.444053600381
Desulfobacter	302.765236974288
Aeromonas	298.844632507356
Canis	298.724622630826
Ruegeria	297.39739795743
Thermomonospora	295.844175155672
Terriglobus	294.834900512225
Asticcacaulis	290.87483422921
Erythrobacter	289.345227648887
Nitrococcus	289.194780790957
Plasmodium	288.99998582378
Oscillatoria	286.939670097731
Pseudoalteromonas	286.37519934848
Geodermatophilus	283.916679415562
Magnetococcus	281.587823429583
Halomonas	278.519335773257
Lentisphaera	276.386500101399
Dysgonomonas	276.098241036964
Alteromonas	274.995363222709
Desulfobacterium	274.558733502867
Methanolinea	273.736292931949
Kitasatospora	272.577789600561
Lautropia	272.521410109286
Methylosinus	271.817553533175
Nematostella	267.959856032605
Blastococcus	266.843897101921
Thiorhodospira	264.235606358194
Janthinobacterium	262.65212716231
Bos	260.793710010465
Actinosynnema	260.704023216852
Monosiga	258.63180469903
Desulfitobacterium	257.764726046606
Roseomonas	256.165058965793
Microcystis	252.353814716472
Strongylocentrotus	250.574708030809
Beutenbergia	250.202480860492
Psychroflexus	249.146715764268
Diplosphaera <Verrucomicrobia>	248.93573799502
Micavibrio	247.535352636719
Salinispora	245.072995891994
Victivallis	245.039983150762
Coraliomargarita	243.675430547782
Hyphomonas	242.776281287022
Starkeya	241.589390774026
